fr_sum,serial_num,vp_exp_dummy,num_comp_exp,product_num,num_news,inv_num,cs_dummy,biz_dummy,master_dummy,age
0,1,1,6,0,53,0,0,1,0,30
0,1,0,3,0,0,0,0,1,0,25
10000000,1,0,4,0,0,0,0,0,0,25
0,1,0,1,1,4,0,0,0,0,25
810801,3,1,4,1,4,1,0,0,0,25
0,1,0,1,1,4,0,0,0,0,25
35050000,1,0,1,1,0,0,0,0,0,25
1250000,1,0,1,1,14,0,0,0,0,25
1250000,1,0,1,1,14,0,0,0,0,25
1250000,1,0,1,1,14,0,0,0,0,25
10000000,1,0,5,1,1,0,1,1,0,25
0,2,1,9,0,0,0,1,1,1,25
63500002,1,0,1,6,8,0,0,0,0,25
19300000,3,1,14,4,72,27,1,0,1,25
2800000,1,1,13,1,3,31,1,0,1,25
0,1,0,5,0,0,1,1,0,0,44
0,1,0,6,0,18,1,0,0,0,25
375000,2,0,3,1,5,0,0,0,0,25
0,1,0,1,1,5,0,0,0,0,25
0,1,0,1,1,5,0,0,0,0,25
534459999,1,1,3,2,78,17,0,1,0,30
534459999,1,0,1,2,78,3,0,1,0,25
0,1,0,3,0,0,0,0,0,0,25
0,1,0,5,0,0,0,0,0,0,25
0,1,1,6,0,3,0,0,1,1,25
2500000,4,0,10,1,4,0,1,0,0,25
67192715,2,0,6,1,7,0,1,1,0,25
109800000,5,0,6,3,26,0,1,0,0,25
0,1,0,2,0,0,0,0,0,0,25
109800000,1,0,1,3,17,0,1,0,0,25
109800000,1,0,1,3,17,0,1,0,0,25
21000000,2,1,3,1,13,1,0,0,0,25
7350000,2,0,2,1,12,0,1,0,0,25
22300000,3,0,3,1,13,0,0,0,0,25
10825000,6,1,10,12,196,0,0,0,0,60
101500000,4,1,8,1,20,1,0,1,0,25
101000000,3,1,9,1,15,0,0,0,0,25
22325000,1,1,7,3,14,2,0,0,0,25
0,1,1,5,0,1,0,0,0,0,25
0,1,0,4,2,10,0,0,0,0,45
0,1,0,1,1,3,0,0,0,0,42
0,3,1,5,1,3,0,0,0,0,42
5600000,2,0,2,3,14,0,0,0,0,25
5000000,1,0,1,1,5,0,0,0,0,25
5000000,1,0,1,1,5,0,0,0,0,25
55200000,1,0,3,2,9,0,0,0,0,25
55200000,1,0,1,2,9,0,0,0,0,25
1792817,1,0,1,4,3,0,0,0,0,25
0,3,0,14,3,0,0,0,1,0,25
23903060,1,0,3,1,22,0,1,1,0,25
0,1,0,2,1,65,0,0,0,0,25
20100000,2,1,2,1,8,0,0,0,0,25
0,2,0,6,0,0,0,0,0,0,25
44000000,1,0,1,1,21,0,1,0,0,25
183800000,4,1,6,2,33,0,1,0,1,25
34300000,1,0,1,4,13,1,0,0,0,25
34300000,3,1,5,4,18,4,0,0,0,25
26000000,3,1,10,0,0,1,0,0,0,25
10000000,3,1,7,1,11,42,0,0,0,36
4200000,2,1,17,0,7,0,1,0,1,25
